Tiempo (s)	Voltaje (V)
0.968000	0.295695
0.969000	0.466004
0.970000	0.190741
0.971000	0.295373
0.972000	0.285715
0.973000	0.291510
0.974000	0.208448
0.975000	0.198146
0.976000	0.196858
0.977000	0.405800
0.978000	0.433166
0.979000	0.524920
0.980000	0.396464
0.981000	0.312115
0.982000	0.268652
0.983000	0.189775
0.984000	0.262857
0.985000	0.216175
0.986000	0.239033
0.987000	0.206517
0.988000	0.362982
0.989000	0.294086
0.990000	0.218751
0.991000	0.263501
0.992000	0.337226
0.993000	0.395820
0.994000	0.528783
0.995000	0.397752
0.996000	0.209736
0.997000	0.397430
0.998000	0.393889
0.999000	0.268008
1.000000	0.318553
1.001000	0.286681
1.002000	0.437029
1.003000	0.367811
1.004000	0.236136
1.005000	0.385518
1.006000	0.359118
1.007000	0.390025
1.008000	0.348494
1.009000	0.237745
1.010000	0.248369
1.011000	0.296983
1.012000	0.316300
1.013000	0.407088
1.014000	0.492082
1.015000	0.404191
1.016000	0.345597
1.017000	0.257384
1.018000	0.278954
1.019000	0.253521
1.020000	0.338836
1.021000	0.792778
1.022000	0.785695
1.023000	0.674624
1.024000	0.414815
1.025000	0.227121
1.026000	0.415459
1.027000	0.566773
1.028000	0.529427
1.029000	0.365879
1.030000	0.417390
1.031000	0.513008
1.032000	0.226477
1.033000	0.356865
1.034000	0.415781
1.035000	0.221970
1.036000	0.299881
1.037000	0.572246
1.038000	0.325314
1.039000	0.207804
1.040000	0.211024
1.041000	0.176576
1.042000	0.195892
1.043000	0.293120
1.044000	0.313402
1.045000	0.419644
1.046000	0.468258
1.047000	0.553895
1.048000	0.316622
1.049000	0.285071
1.050000	0.479526
1.051000	0.303422
1.052000	0.184946
1.053000	0.236457
1.054000	0.430268
1.055000	0.510433
1.056000	0.401937
1.057000	0.334973
1.058000	0.182371
1.059000	0.317910
1.060000	0.342055
1.061000	0.190419
1.062000	0.442180
1.063000	0.449585
1.064000	0.293120
1.065000	0.432200
1.066000	0.338514
1.067000	0.561622
1.068000	0.330143
1.069000	0.253842
1.070000	0.307607
1.071000	0.253199
1.072000	0.307929
1.073000	0.283783
1.074000	0.267364
1.075000	0.378757
1.076000	0.239999
1.077000	0.324670
1.078000	0.449907
1.079000	0.390991
1.080000	0.250945
1.081000	0.206517
1.082000	0.505603
1.083000	0.348494
1.084000	0.186556
1.085000	0.344631
1.086000	0.353323
1.087000	0.525242
1.088000	0.512364
1.089000	0.284105
1.090000	0.235492
1.091000	0.209092
1.092000	0.213599
1.093000	0.176898
1.094000	0.198468
1.095000	0.457634
1.096000	0.195892
1.097000	0.396464
1.098000	0.478560
1.099000	0.487574
1.100000	0.252233
1.101000	0.231628
1.102000	0.249335
1.103000	0.244184
1.104000	0.293442
1.105000	0.393567
1.106000	0.533291
1.107000	0.519769
1.108000	0.423829
1.109000	0.339158
1.110000	0.322417
1.111000	0.400649
1.112000	0.421898
1.113000	0.579007
1.114000	0.710038
1.115000	0.870367
1.116000	1.022647
1.117000	0.921234
1.118000	0.747062
1.119000	0.280564
1.120000	0.420932
1.121000	0.345919
1.122000	0.825617
1.123000	0.336260
1.124000	0.256096
1.125000	0.238389
1.126000	0.532647
1.127000	0.780222
1.128000	0.535222
1.129000	0.239033
1.130000	0.264467
1.131000	0.263179
1.132000	0.691366
1.133000	0.835275
1.134000	0.413205
1.135000	0.242574
1.136000	0.203619
1.137000	0.367167
1.138000	0.587377
1.139000	0.320485
1.140000	0.208770
1.141000	0.323705
1.142000	0.500452
1.143000	0.484999
1.144000	0.808232
1.145000	0.545846
1.146000	0.328212
1.147000	0.215853
1.148000	0.247082
1.149000	0.403547
1.150000	0.438961
1.151000	0.371996
1.152000	0.354933
1.153000	0.509145
1.154000	0.760584
1.155000	0.746418
1.156000	0.436385
1.157000	0.334651
1.158000	0.193961
1.159000	0.230019
1.160000	0.506569
1.161000	0.445400
1.162000	0.260925
1.163000	0.300524
1.164000	0.386484
1.165000	0.419322
1.166000	0.205229
1.167000	0.486287
1.168000	0.212634
1.169000	0.402259
1.170000	0.647581
1.171000	0.281208
1.172000	0.409986
1.173000	0.658849
1.174000	0.759940
1.175000	0.703599
1.176000	0.882279
1.177000	0.870689
1.178000	0.535866
1.179000	0.218107
1.180000	0.538764
1.181000	0.647903
1.182000	0.234526
1.183000	0.566129
1.184000	0.809197
1.185000	0.824007
1.186000	0.567417
1.187000	0.458277
1.188000	0.233560
1.189000	0.494013
1.190000	0.814670
1.191000	1.149171
1.192000	0.853304
1.193000	0.426083
1.194000	0.455702
1.195000	0.380689
1.196000	0.375538
1.197000	0.745452
1.198000	0.600255
1.199000	0.605406
1.200000	0.629230
1.201000	0.389703
1.202000	0.426405
1.203000	0.218751
1.204000	0.631162
1.205000	1.255735
1.206000	1.157220
1.207000	0.554861
1.208000	0.465682
1.209000	0.873908
1.210000	0.230984
1.211000	0.449263
1.212000	0.301490
1.213000	0.292476
1.214000	0.315656
1.215000	0.457956
1.216000	0.834631
1.217000	0.241287
1.218000	0.615709
1.219000	0.979184
1.220000	0.703599
1.221000	0.633415
1.222000	0.258672
1.223000	0.731931
1.224000	0.393889
1.225000	0.383264
1.226000	0.241287
1.227000	0.208770
1.228000	0.381011
1.229000	0.387128
1.230000	0.321129
1.231000	0.564197
1.232000	0.576431
1.233000	0.434132
1.234000	0.395820
1.235000	0.433166
1.236000	0.212634
1.237000	0.504959
1.238000	0.581904
1.239000	0.620216
1.240000	0.978540
1.241000	0.851694
1.242000	0.917693
1.243000	0.532325
1.244000	0.611845
1.245000	1.120840
1.246000	1.226438
1.247000	0.269940
1.248000	1.221609
1.249000	1.875157
1.250000	1.508784
1.251000	0.984979
1.252000	0.498521
1.253000	0.596714
1.254000	0.501096
1.255000	0.290222
1.256000	0.507535
1.257000	0.459565
1.258000	0.217785
1.259000	0.426727
1.260000	0.212955
1.261000	0.386484
1.262000	0.284105
1.263000	0.335616
1.264000	0.560656
1.265000	0.400005
1.266000	0.316622
1.267000	0.305676
1.268000	0.288613
1.269000	0.355899
1.270000	0.430912
1.271000	0.467292
1.272000	0.426727
1.273000	0.947312
1.274000	0.289256
1.275000	0.366845
1.276000	1.010413
1.277000	1.046149
1.278000	0.806300
1.279000	1.040676
1.280000	0.874874
1.281000	0.805012
1.282000	0.905459
1.283000	0.943448
1.284000	0.419000
1.285000	0.938941
1.286000	0.880991
1.287000	0.647259
1.288000	1.420571
1.289000	1.172351
1.290000	0.624079
1.291000	0.193317
1.292000	0.429624
1.293000	0.382298
1.294000	0.445400
1.295000	0.311149
1.296000	0.237101
1.297000	0.229053
1.298000	0.317266
1.299000	0.321129
1.300000	0.585768
1.301000	0.325314
1.302000	0.455058
1.303000	0.295373
1.304000	0.428980
1.305000	0.203941
1.306000	0.188488
1.307000	0.351070
1.308000	1.099914
1.309000	1.601826
1.310000	1.762476
1.311000	2.065748
1.312000	0.844933
1.313000	1.265715
1.314000	1.734145
1.315000	1.799178
1.316000	1.693902
1.317000	1.239960
1.318000	0.750281
1.319000	0.216175
1.320000	0.260925
1.321000	0.633094
1.322000	1.530998
1.323000	1.688429
1.324000	1.412522
1.325000	1.322699
1.326000	0.352358
1.327000	0.420610
1.328000	0.266398
1.329000	1.154966
1.330000	1.320768
1.331000	0.526530
1.332000	0.875840
1.333000	0.668507
1.334000	0.366845
1.335000	0.248369
1.336000	0.479848
1.337000	0.694263
1.338000	1.012988
1.339000	0.365557
1.340000	1.035847
1.341000	1.801753
1.342000	1.037456
1.343000	0.285393
1.344000	0.347528
1.345000	0.623113
1.346000	0.642108
1.347000	0.221004
1.348000	0.281208
1.349000	1.173639
1.350000	1.345557
1.351000	0.735794
1.352000	0.835597
1.353000	1.646254
1.354000	1.008159
1.355000	0.333685
1.356000	0.285393
1.357000	1.094762
1.358000	0.638889
1.359000	0.904815
1.360000	0.499808
1.361000	1.461458
1.362000	0.722916
1.363000	0.707785
1.364000	1.469828
1.365000	1.026832
1.366000	1.195853
1.367000	0.332719
1.368000	1.166234
1.369000	1.574782
1.370000	1.461458
1.371000	1.705814
1.372000	1.699053
1.373000	0.244506
1.374000	0.366845
1.375000	0.322095
1.376000	0.224867
1.377000	0.262857
1.378000	0.577719
1.379000	0.258028
1.380000	0.289900
1.381000	0.655952
1.382000	0.499808
1.383000	0.263179
1.384000	0.661103
1.385000	1.052588
1.386000	2.163619
1.387000	2.112108
1.388000	1.540978
1.389000	1.464355
1.390000	0.527174
1.391000	1.053554
1.392000	1.609552
1.393000	1.471116
